,disYear,disMonth,disDate,disDay,cityCode,citySidoName,citySggName,disQuantity,disQuantityRate,disCount,disCountRate
150,2018,03,02,6,W6Y,제주특별자치도,서귀포시,22213800,3.35,6499,3.22
151,2018,03,03,7,W6Y,제주특별자치도,서귀포시,21211650,3.2,6133,3.04
152,2018,03,04,1,W6Y,제주특별자치도,서귀포시,21346650,3.22,6704,3.32
153,2018,03,05,2,W6Y,제주특별자치도,서귀포시,22479850,3.39,6817,3.38
154,2018,03,06,3,W6Y,제주특별자치도,서귀포시,23388200,3.53,6933,3.43
155,2018,03,07,4,W6Y,제주특별자치도,서귀포시,15967500,2.41,4784,2.37
156,2018,03,08,5,W6Y,제주특별자치도,서귀포시,23031800,3.47,7036,3.48
157,2018,03,09,6,W6Y,제주특별자치도,서귀포시,22546500,3.4,6855,3.39
158,2018,03,10,7,W6Y,제주특별자치도,서귀포시,21494450,3.24,6410,3.17
159,2018,03,11,1,W6Y,제주특별자치도,서귀포시,22025000,3.32,6803,3.37
160,2018,03,12,2,W6Y,제주특별자치도,서귀포시,21998850,3.32,6914,3.42
161,2018,03,13,3,W6Y,제주특별자치도,서귀포시,21991950,3.32,6684,3.31
162,2018,03,14,4,W6Y,제주특별자치도,서귀포시,22030950,3.32,6902,3.42
163,2018,03,15,5,W6Y,제주특별자치도,서귀포시,15282050,2.31,4422,2.19
164,2018,03,16,6,W6Y,제주특별자치도,서귀포시,24153900,3.64,7190,3.56
165,2018,03,17,7,W6Y,제주특별자치도,서귀포시,22270300,3.36,6778,3.36
166,2018,03,18,1,W6Y,제주특별자치도,서귀포시,20079250,3.03,6310,3.12
167,2018,03,19,2,W6Y,제주특별자치도,서귀포시,22392850,3.38,6800,3.37
168,2018,03,20,3,W6Y,제주특별자치도,서귀포시,15398600,2.32,4444,2.2
169,2018,03,21,4,W6Y,제주특별자치도,서귀포시,22785550,3.44,6824,3.38
170,2018,03,22,5,W6Y,제주특별자치도,서귀포시,23134100,3.49,6820,3.38
171,2018,03,23,6,W6Y,제주특별자치도,서귀포시,20560050,3.1,6226,3.08
172,2018,03,24,7,W6Y,제주특별자치도,서귀포시,21640250,3.26,6517,3.23
173,2018,03,25,1,W6Y,제주특별자치도,서귀포시,21886350,3.3,6837,3.39
174,2018,03,26,2,W6Y,제주특별자치도,서귀포시,22044400,3.33,6789,3.36
175,2018,03,27,3,W6Y,제주특별자치도,서귀포시,20322850,3.07,6502,3.22
176,2018,03,28,4,W6Y,제주특별자치도,서귀포시,20389750,3.08,6484,3.21
177,2018,03,29,5,W6Y,제주특별자치도,서귀포시,20869600,3.15,6706,3.32
178,2018,03,30,6,W6Y,제주특별자치도,서귀포시,19835550,2.99,6373,3.16
