base_date,emd_nm,disQuantity,disCount
19-Jun,이도1동,47764000,22322
19-Jun,이도2동,205625750,103104
19-Jun,이호동,20099350,9373
19-Jun,일도1동,26688500,9489
19-Jun,일도2동,155413950,81272
19-Jun,조천읍,,
19-Jun,한경면,,
19-Jun,한림읍,,
19-Jun,화북동,117624000,67926
19-Jul,건입동,45293000,20645
19-Jul,구좌읍,,
19-Jul,노형동,285294600,144711
19-Jul,도두동,17711000,7192
19-Jul,봉개동,17100450,7313
19-Jul,삼도1동,78909850,38458
19-Jul,삼도2동,48112950,24899
19-Jul,삼도동,,
19-Jul,삼양동,85098550,40299
19-Jul,아라동,127378100,63555
19-Jul,애월읍,10270200,5397
19-Jul,연동,247351250,124408
19-Jul,오라동,69733250,33510
19-Jul,외도동,121696700,60712
19-Jul,용담1동,37732450,18312
19-Jul,용담2동,72460150,37344
19-Jul,이도1동,53482800,25246
19-Jul,이도2동,238906250,117489
19-Jul,이호동,24058150,10808
19-Jul,일도1동,27174700,10520
19-Jul,일도2동,179783650,91836
19-Jul,조천읍,,
19-Jul,한경면,,
19-Jul,한림읍,,
19-Jul,화북동,135698950,75437
19-Aug,건입동,42137850,20977
19-Aug,구좌읍,,
19-Aug,노형동,276296300,145675
19-Aug,도두동,18410750,7550
19-Aug,봉개동,15576300,7085
19-Aug,삼도1동,77069550,38645
19-Aug,삼도2동,46497550,24770
19-Aug,삼도동,,
19-Aug,삼양동,77785400,39658
19-Aug,아라동,122868750,63229
19-Aug,애월읍,10040150,5529
19-Aug,연동,243311961,126000
19-Aug,오라동,68248150,34138
19-Aug,외도동,115866850,61265
19-Aug,용담1동,38550650,18935
19-Aug,용담2동,70041300,37229
19-Aug,이도1동,52549050,25290
19-Aug,이도2동,227882550,114911
19-Aug,이호동,23138200,10706
19-Aug,일도1동,26360200,10373
19-Aug,일도2동,169649300,90782
19-Aug,조천읍,,
19-Aug,한경면,,
19-Aug,한림읍,,
19-Aug,화북동,131684100,76993
19-Sep,건입동,39246350,19722
19-Sep,구좌읍,,
19-Sep,노형동,245940050,133549
19-Sep,도두동,16010800,6651
19-Sep,봉개동,14581950,6634
19-Sep,삼도1동,69379500,36469
19-Sep,삼도2동,40084500,22019
19-Sep,삼도동,,
19-Sep,삼양동,71028600,36410
19-Sep,아라동,109148850,59010
19-Sep,애월읍,8465450,4860
19-Sep,연동,215418250,114902
19-Sep,오라동,64360550,33913
19-Sep,외도동,103814450,56656
19-Sep,용담1동,35433550,17467
19-Sep,용담2동,63371900,34072
19-Sep,이도1동,47379450,23248
19-Sep,이도2동,200588300,105307
19-Sep,이호동,20861850,9867
19-Sep,일도1동,23994250,9494
19-Sep,일도2동,154967550,84901
19-Sep,조천읍,,
19-Sep,한경면,,
19-Sep,한림읍,,
19-Sep,화북동,118876600,69890
19-Oct,건입동,34019150,17452
19-Oct,구좌읍,,
19-Oct,노형동,217711511,124574
19-Oct,도두동,15856150,6232
19-Oct,봉개동,11279450,5485
19-Oct,삼도1동,59352500,33145
19-Oct,삼도2동,34150850,19415
19-Oct,삼도동,,
19-Oct,삼양동,61109300,33548
19-Oct,아라동,96166600,55124
19-Oct,애월읍,7682550,4624
19-Oct,연동,193379750,107989
19-Oct,오라동,54974650,30123
19-Oct,외도동,91507050,52640
19-Oct,용담1동,32171500,16063
19-Oct,용담2동,57505450,31078
19-Oct,이도1동,44722400,21227
19-Oct,이도2동,178172750,97550
19-Oct,이호동,18848300,9102
19-Oct,일도1동,24743450,9230
19-Oct,일도2동,134698650,77679
19-Oct,조천읍,,
19-Oct,한경면,,
19-Oct,한림읍,,
19-Oct,화북동,101716550,63511
19-Nov,건입동,34034450,16030
19-Nov,구좌읍,2720350,593
19-Nov,노형동,224254700,116401
19-Nov,도두동,16461100,5793
19-Nov,봉개동,10341650,4818
19-Nov,삼도1동,58757250,30142
19-Nov,삼도2동,34921650,18362
19-Nov,삼도동,,
19-Nov,삼양동,60444050,30698
19-Nov,아라동,97124000,50751
19-Nov,애월읍,15671200,6622
19-Nov,연동,195291850,100006
19-Nov,오라동,53759450,25903
19-Nov,외도동,92806800,48804
19-Nov,용담1동,32611200,15168
